image_path,GHI,Sky_Condition
D:\Image\20250123_024730.jpg,909.56,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_024800.jpg,855.73,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_024830.jpg,799.15,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_024900.jpg,883.48,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_024930.jpg,890.64,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_025000.jpg,777.23,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025030.jpg,799.27,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025100.jpg,713.76,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025130.jpg,827.53,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025200.jpg,868.71,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_025230.jpg,833.09,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025300.jpg,893.19,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_025330.jpg,751.98,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025400.jpg,909.19,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_025430.jpg,749.47,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025500.jpg,605.69,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_025530.jpg,598.55,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_025600.jpg,818.74,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025630.jpg,765.58,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025700.jpg,518.33,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_025730.jpg,628.02,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025800.jpg,484.31,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_025830.jpg,586.54,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_025900.jpg,796.55,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_025930.jpg,582.0,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030000.jpg,432.9,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030030.jpg,436.1,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030100.jpg,420.3,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030130.jpg,436.29,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030200.jpg,417.85,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030230.jpg,417.79,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030300.jpg,459.27,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030330.jpg,398.44,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_030400.jpg,392.67,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_030430.jpg,412.77,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_030500.jpg,420.79,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030530.jpg,446.36,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030600.jpg,426.95,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030630.jpg,404.96,"Partly Clear (Low Cloud Cover, Low Clear-Sky Index)"
D:\Image\20250123_030700.jpg,433.56,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030730.jpg,457.47,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030800.jpg,445.73,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030830.jpg,485.52,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030900.jpg,520.0,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_030930.jpg,480.76,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_031000.jpg,442.6,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_031030.jpg,442.18,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_031100.jpg,444.93,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_031130.jpg,452.22,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_031200.jpg,495.17,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_031230.jpg,558.09,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_031300.jpg,653.96,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_031330.jpg,622.85,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_031400.jpg,964.53,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_031430.jpg,702.28,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_031500.jpg,633.22,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_031530.jpg,630.27,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_031600.jpg,787.83,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_031630.jpg,873.78,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_031700.jpg,892.91,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_031730.jpg,700.71,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_031800.jpg,563.89,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_031830.jpg,799.18,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_031900.jpg,610.18,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_031930.jpg,773.99,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_032000.jpg,941.05,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_032030.jpg,1068.27,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_032100.jpg,1071.62,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_032130.jpg,1030.7,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_032200.jpg,481.13,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_032230.jpg,623.64,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_032300.jpg,644.53,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_032330.jpg,1025.02,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_032400.jpg,1045.68,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_032430.jpg,739.32,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_032500.jpg,1052.09,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_032530.jpg,761.37,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_032600.jpg,614.43,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_032630.jpg,814.11,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_032700.jpg,660.44,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_032730.jpg,664.87,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_032800.jpg,1008.47,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_032830.jpg,894.29,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_032900.jpg,1122.69,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_032930.jpg,1078.12,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033000.jpg,1136.39,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033030.jpg,851.82,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033100.jpg,981.72,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033130.jpg,966.82,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033200.jpg,1012.72,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033230.jpg,814.65,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_033300.jpg,700.16,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_033330.jpg,1050.2,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033400.jpg,955.52,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033430.jpg,632.37,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_033500.jpg,973.21,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033530.jpg,1009.19,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033600.jpg,1095.04,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033630.jpg,830.16,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_033700.jpg,1049.03,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033730.jpg,947.41,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033800.jpg,655.61,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_033830.jpg,765.14,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_033900.jpg,891.3,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_033930.jpg,981.92,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034000.jpg,1131.9,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034030.jpg,755.86,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_034100.jpg,1123.3,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034130.jpg,658.72,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_034200.jpg,1172.44,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034230.jpg,716.95,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_034300.jpg,1199.98,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034330.jpg,763.62,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_034400.jpg,938.71,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034430.jpg,758.06,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_034500.jpg,875.46,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034530.jpg,1092.54,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034600.jpg,1184.56,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034630.jpg,804.69,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_034700.jpg,695.71,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_034730.jpg,941.86,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034800.jpg,989.67,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034830.jpg,1039.12,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034900.jpg,879.05,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_034930.jpg,794.42,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_035000.jpg,1032.37,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035030.jpg,796.23,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_035100.jpg,813.7,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_035130.jpg,832.53,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_035200.jpg,694.68,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_035230.jpg,735.75,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_035300.jpg,871.0,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035330.jpg,974.78,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035400.jpg,566.18,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_035430.jpg,984.5,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035500.jpg,1023.16,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035530.jpg,1036.49,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035600.jpg,931.77,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035630.jpg,1039.93,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035700.jpg,672.64,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_035730.jpg,713.64,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_035800.jpg,1007.67,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035830.jpg,916.13,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035900.jpg,965.97,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_035930.jpg,929.97,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_040000.jpg,678.75,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_040030.jpg,664.0,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_040100.jpg,895.55,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_040130.jpg,639.04,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_040200.jpg,947.48,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_040230.jpg,799.79,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_040300.jpg,979.69,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_040330.jpg,888.85,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_040400.jpg,785.76,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_040430.jpg,725.83,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_040500.jpg,576.8,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_040530.jpg,657.39,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_040600.jpg,678.57,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_040630.jpg,594.45,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_040700.jpg,572.24,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_040730.jpg,770.16,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_040800.jpg,685.95,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_040830.jpg,592.53,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_040900.jpg,865.05,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_040930.jpg,865.89,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_041000.jpg,646.07,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_041030.jpg,789.5,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_041100.jpg,885.08,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_041130.jpg,883.21,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_041200.jpg,617.58,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_041230.jpg,871.36,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_041300.jpg,901.78,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_041330.jpg,851.81,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_041400.jpg,774.99,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_041430.jpg,945.14,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_041500.jpg,913.55,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_041530.jpg,839.67,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_041600.jpg,917.25,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_041630.jpg,943.87,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_041700.jpg,591.27,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_041730.jpg,613.9,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_041800.jpg,562.66,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_041830.jpg,578.49,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_041900.jpg,723.93,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_041930.jpg,672.45,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_042000.jpg,721.01,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_042030.jpg,858.01,"Clear Sky (High Clear-Sky Index, Very Low Cloud Cover)"
D:\Image\20250123_042100.jpg,819.1,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_042130.jpg,684.17,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_042200.jpg,638.53,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_042230.jpg,590.06,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042300.jpg,534.67,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042330.jpg,558.01,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042400.jpg,770.67,Overcast High Irradiance (Overirradiance Phenomenon)
D:\Image\20250123_042430.jpg,532.45,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042500.jpg,552.41,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042530.jpg,584.64,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042600.jpg,618.75,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042630.jpg,513.87,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042700.jpg,512.33,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042730.jpg,499.51,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042800.jpg,487.04,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042830.jpg,493.3,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042900.jpg,491.73,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_042930.jpg,502.77,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043000.jpg,505.1,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043030.jpg,511.67,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043100.jpg,517.62,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043130.jpg,518.85,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043200.jpg,524.98,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043230.jpg,537.6,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043300.jpg,563.43,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043330.jpg,542.32,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043400.jpg,548.77,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043430.jpg,538.26,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043500.jpg,531.45,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043530.jpg,535.2,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043600.jpg,544.94,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043630.jpg,523.5,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043700.jpg,519.2,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043730.jpg,538.17,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043800.jpg,530.71,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043830.jpg,510.81,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043900.jpg,500.35,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_043930.jpg,490.72,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044000.jpg,480.78,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044030.jpg,471.33,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044100.jpg,461.63,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044130.jpg,456.12,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044200.jpg,454.39,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044230.jpg,453.02,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044300.jpg,451.78,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044330.jpg,449.12,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044400.jpg,448.32,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044430.jpg,448.06,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044500.jpg,448.57,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044530.jpg,449.76,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044600.jpg,450.31,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044630.jpg,449.73,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044700.jpg,446.94,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044730.jpg,442.99,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044800.jpg,439.54,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044830.jpg,437.86,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044900.jpg,436.82,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_044930.jpg,436.6,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045000.jpg,436.45,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045030.jpg,436.43,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045100.jpg,436.82,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045130.jpg,436.96,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045200.jpg,436.89,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045230.jpg,437.71,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045300.jpg,439.6,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045330.jpg,440.75,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045400.jpg,442.33,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045430.jpg,444.1,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045500.jpg,445.66,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045530.jpg,446.23,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045600.jpg,446.43,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045630.jpg,447.03,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045700.jpg,447.03,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045730.jpg,447.0,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045800.jpg,446.94,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045830.jpg,449.76,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045900.jpg,455.26,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_045930.jpg,459.83,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_050000.jpg,462.69,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_050030.jpg,464.92,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_050100.jpg,466.86,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_050130.jpg,466.85,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_050200.jpg,464.54,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_050230.jpg,462.54,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_050300.jpg,459.14,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
D:\Image\20250123_050330.jpg,457.65,Partly Cloudy (Linear Clear-Sky Index & Cloud Cover)
